partid,partid0,period,period_id,treat_id,promo,ext_impact,frcast_type,promo_yn,ext_impact_pn,frcast_type_ab,stat_frcast,experts,part_frcast,actual_sales,APE,adjustment,MASE,forecaster_type,forecaster,mean_part_mape,relative_absolute_error,ASE_naive,series_id,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,naïve_abs_error_w2w1,naïve_abs_error_w3w2,naïve_abs_error_w4w3,naïve_abs_error_w5w4,naïve_abs_error_w6w5,naïve_abs_error_w7w6,naïve_abs_error_w8w7,naïve_abs_error_w9w8,naïve_abs_error_w10w9,naïve_abs_error_w11w10,naïve_abs_error_w12w11,naïve_abs_error_w13w12,naïve_abs_error_w14w13,naïve_abs_error_w15w14,naïve_abs_error_w16w15,naïve_abs_error_w17w16,naïve_abs_error_w18w17,naïve_abs_error_w19w18,naïve_abs_error_w20w19,naïve_abs_error_w21w20,naïve_abs_error_w22w21,naïve_abs_error_w23w22,naïve_abs_error_w24w23,MAE_naive,MASE,avg_actual_sales,_merge,treat_id_label,treatment_code,forecaster_type_code,partid0_code,frcast_type_code,promo_yn_code,ext_impact_pn_code,obs_num,stat_mape,APE,adjustment,MASE,mape,,zscore,outlier,zscore_part_mape,outlier_part_mape
0,Human,F1,1,1,1,1,0,yes promo,positive,baseline,127,740,798,746,6.971,671,0.498,human,1,14,0,0,1,220,280,667,200,213,232,293,296,223,227,223,211,213,798,185,193,214,199,189,194,182,159,159,155,NA,60,387,467,13,19,61,3,73,4,4,12,2,585,613,8,21,15,10,5,12,23,0,4,104,0,255.21,Matched (3),Yes-promo_Positive-impact_Baseline-forecast,Yes-promo_Positive-impact_Baseline-forecast,human,Human,baseline,yes promo,positive,28,83,6.971,671,0.498,7,,0,0,0,0
0,Human,F2,2,4,1,0,1,yes promo,negative,advanced,4601,4400,3900,3768,3.503,-701,0.121,human,1,14,0,0,2,121,156,4012,335,320,165,281,175,181,126,135,103,112,3900,142,88,137,80,138,172,4787,194,189,92,NA,35,3856,3677,15,155,116,106,6,55,9,32,9,3788,3758,54,49,57,58,34,4615,4593,5,97,1095,0,672.54,Matched (3),Yes-promo_Negative-impact_Advanced-forecast,Yes-promo_Negative-impact_Advanced-forecast,human,Human,advanced,yes promo,negative,244,22,3.503,-701,0.121,4,,0,0,-1,0
0,Human,F3,3,6,0,0,0,no promo,negative,baseline,2243,2350,2500,2480,0.806,257,0.128,human,1,14,0,0,3,1921,1887,1783,1640,1620,1572,1431,1567,1480,1666,2000,2024,2189,2253,2262,2021,2446,2499,2787,2326,2486,2189,2284,2366,NA,34,104,143,20,48,141,136,87,186,334,24,165,64,9,241,425,53,288,461,160,297,95,82,156,0,2029.13,Matched (3),No-promo_Negative-impact_Baseline-forecast,No-promo_Negative-impact_Baseline-forecast,human,Human,baseline,no promo,negative,307,10,0.806,257,0.128,1,,0,0,-1,0
0,Human,F5,5,3,1,0,0,yes promo,negative,baseline,410,3500,3400,3601,5.582,2990,0.235,human,1,14,0,0,5,440,420,412,438,431,3900,407,423,427,434,3350,404,412,424,410,423,420,421,3756,412,413,417,431,410,NA,20,8,26,7,3469,3493,16,4,7,2916,2946,8,12,14,13,3,1,3335,3344,1,4,14,21,856,0,826.46,Matched (3),Yes-promo_Negative-impact_Baseline-forecast,Yes-promo_Negative-impact_Baseline-forecast,human,Human,baseline,yes promo,negative,641,89,5.582,2990,0.235,6,,0,0,0,0
0,Human,F6,6,5,0,1,0,no promo,positive,baseline,1702,1530,1818,1499,21.281,116,2.785,human,1,14,2,7,6,1624,1580,1609,1664,1682,1818,1640,1498,1712,1608,1506,1556,1565,1494,1526,1235,1482,1391,1516,1388,1705,1634,1557,1451,NA,43,29,55,18,136,178,142,214,104,102,50,9,70,31,291,248,91,125,128,317,71,77,106,115,3,1560.04,Matched (3),No-promo_Positive-impact_Baseline-forecast,No-promo_Positive-impact_Baseline-forecast,human,Human,baseline,no promo,positive,723,14,21.281,116,2.785,21,,0,0,0,0
0,Human,F7,7,1,1,1,0,yes promo,positive,baseline,1006,2150,2214,2320,4.569,1208,0.281,human,1,14,0,0,7,1000,2000,800,1245,1109,821,690,403,730,639,1378,1109,1189,2214,1200,1300,1279,1400,902,730,738,903,983,1473,NA,1000,1200,445,136,288,131,287,327,91,739,269,80,1025,1014,100,21,121,498,172,8,165,80,490,378,0,1093.13,Matched (3),Yes-promo_Positive-impact_Baseline-forecast,Yes-promo_Positive-impact_Baseline-forecast,human,Human,baseline,yes promo,positive,890,57,4.569,1208,0.281,5,,0,0,-1,0
0,Human,F8,8,1,1,1,0,yes promo,positive,baseline,3556,4527,4100,4434,7.533,544,1.051,human,1,14,0,0,8,3514,3346,3301,2864,3185,3400,3451,3389,4387,3145,3389,4527,3389,3406,3219,3220,3334,3476,3684,3561,3576,3409,3333,3531,NA,168,45,437,321,215,51,62,998,1242,244,1138,1138,17,187,1,114,142,208,123,15,167,76,198,318,1,3459.83,Matched (3),Yes-promo_Positive-impact_Baseline-forecast,Yes-promo_Positive-impact_Baseline-forecast,human,Human,baseline,yes promo,positive,955,20,7.533,544,1.051,8,,0,0,0,0
0,Human,F9,9,6,0,0,0,no promo,negative,baseline,4324,4000,4058,3698,9.735,-266,2.574,human,1,14,1,1,9,3856,3881,3903,4261,3863,3883,3886,4274,3883,3873,3893,3911,4044,4241,3849,3901,3918,3914,3923,4058,4272,3913,3904,3947,NA,25,22,358,398,20,3,388,391,10,20,18,133,197,392,52,17,4,9,135,214,359,9,43,140,3,3968.79,Matched (3),No-promo_Negative-impact_Baseline-forecast,No-promo_Negative-impact_Baseline-forecast,human,Human,baseline,no promo,negative,1077,17,9.735,-266,2.574,10,,0,0,0,0
0,Human,F10,10,4,1,0,1,yes promo,negative,advanced,2044,2050,2000,1906,4.932,-44,0.184,human,1,14,1,0,10,768,2189,896,1280,2389,896,640,672,768,672,1088,976,1437,2666,1385,998,1404,1275,1152,768,640,896,1024,900,NA,1421,1293,384,1109,1493,256,32,96,96,416,112,461,1229,1281,387,406,129,123,384,128,256,128,124,511,0,1157.46,Matched (3),Yes-promo_Negative-impact_Advanced-forecast,Yes-promo_Negative-impact_Advanced-forecast,human,Human,advanced,yes promo,negative,1218,7,4.932,-44,0.184,5,,0,0,-1,0
0,Human,F11,11,2,1,1,1,yes promo,positive,advanced,780,900,950,1017,6.588,170,0.378,human,1,14,0,0,11,723,1137,810,759,798,801,831,882,855,921,1212,681,738,777,735,822,804,1167,402,729,696,977,747,747,NA,414,327,51,39,3,30,51,27,66,291,531,57,39,42,87,18,363,765,327,33,281,230,0,177,0,822.96,Matched (3),Yes-promo_Positive-impact_Advanced-forecast,Yes-promo_Positive-impact_Advanced-forecast,human,Human,advanced,yes promo,positive,1387,23,6.588,170,0.378,7,,0,0,0,0
